"species_cleaned","rl_cat","naturadb_common_name"
"Ranunculus haasii","1","not in naturadb"
"Ranunculus hevellus","3","not in naturadb"
"Ranunculus indecorus","3","not in naturadb"
"Ranunculus inexspectans","R","not in naturadb"
"Ranunculus integerrimus","2","not in naturadb"
"Ranunculus irregularis","R","not in naturadb"
"Ranunculus kunzii","1","not in naturadb"
"Ranunculus leptomeris","3","not in naturadb"
"Ranunculus lunaris","2","not in naturadb"
"Ranunculus macrotis","R","not in naturadb"
"Ranunculus megacarpus","G","not in naturadb"
"Ranunculus mergenthaleri","2","not in naturadb"
"Ranunculus mosbachensis","R","not in naturadb"
"Ranunculus mosellanus","R","not in naturadb"
"Ranunculus multisectus","G","not in naturadb"
"Ranunculus opimus","3","not in naturadb"
"Ranunculus palmularis","1","not in naturadb"
"Ranunculus phragmiteti","2","not in naturadb"
"Ranunculus pseudoaemulans","3","not in naturadb"
"Ranunculus pseudocassubicus","R","not in naturadb"
"Ranunculus pseudopimus","R","not in naturadb"
"Ranunculus puberulus","G","not in naturadb"
"Ranunculus ratisbonensis","R","not in naturadb"
"Ranunculus recticaulis","2","not in naturadb"
"Ranunculus reichertii","R","not in naturadb"
"Ranunculus rhombilobus","2","not in naturadb"
"Ranunculus rostratulus","1","not in naturadb"
"Ranunculus rotundatus","3","not in naturadb"
"Ranunculus sorviodurus","R","not in naturadb"
"Ranunculus suevicus","G","not in naturadb"
"Ranunculus transiens","3","not in naturadb"
"Ranunculus variabilis","2","not in naturadb"
"Ranunculus varicus","3","not in naturadb"
"Ranunculus vertumnaliformis","R","not in naturadb"
"Ranunculus walo-kochii","G","not in naturadb"
"Ranunculus circinatus","V","not in naturadb"
"Ranunculus reptans","2","not in naturadb"
"Ranunculus fluitans","V","not in naturadb"
"Ranunculus glacialis","R","not in naturadb"
"Ranunculus hederaceus","2","not in naturadb"
"Ranunculus hybridus","R","not in naturadb"
"Ranunculus illyricus","2","not in naturadb"
"Ranunculus lingua","3","naturadb"
"Ranunculus carinthiacus","2","not in naturadb"
"Ranunculus villarsii","R","not in naturadb"
"Ranunculus parnassifolius","1","not in naturadb"
"Ranunculus polyanthemos","V","naturadb"
"Ranunculus sardous","3","not in naturadb"
"Ranunculus seguieri","0","not in naturadb"
"Rapistrum perenne","3","naturadb"
"Rhinanthus glacialis","V","not in naturadb"
"Rhinanthus riphaeus","0","not in naturadb"
"Rhinanthus serotinus","3","naturadb"
"Rhodiola rosea","1","naturadb"
"Rhododendron tomentosum","3","naturadb"
"Rhynchospora alba","3","not in naturadb"
"Rhynchospora fusca","2","not in naturadb"
"Ribes petraeum","R","naturadb"
"Rorippa islandica","R","not in naturadb"
"Rorippa pyrenaica","3","naturadb"
"Rosa agrestis","3","naturadb"
"Rosa arvensis","V","naturadb"
"Rosa caesia","3","not in naturadb"
"Rosa dumalis","V","naturadb"
"Rosa elliptica","3","naturadb"
"Rosa gallica","3","naturadb"
"Rosa glauca","3","naturadb"
"Rosa majalis","3","naturadb"
"Rosa marginata","3","not in naturadb"
"Rosa micrantha","V","naturadb"
"Rosa spinosissima","3","naturadb"
"Rosa abietina","1","not in naturadb"
"Rosa balsamica","V","not in naturadb"
"Rosa mollis","R","naturadb"
"Rosa pseudoscabriuscula","V","not in naturadb"
"Rosa sherardii","V","naturadb"
"Rosa villosa","V","naturadb"
"Rubus","1","not in naturadb"
"Rubus chamaemorus","1","naturadb"
"Rubus","V","not in naturadb"
"Rubus saxatilis","V","naturadb"
"Rubus cordiformis","3","not in naturadb"
"Rubus egregiusculus","3","not in naturadb"
"Rubus firmus","3","not in naturadb"
"Rubus frisicus","3","not in naturadb"
"Rubus glauciformis","1","not in naturadb"
"Rubus hallandicus","3","not in naturadb"
"Rubus hylanderi","R","not in naturadb"
"Rubus martensenii","3","not in naturadb"
"Rubus maximus","G","not in naturadb"
"Rubus mortensenii","2","not in naturadb"
"Rubus pedersenii","R","not in naturadb"
"Rubus perdemissus","V","not in naturadb"
"Rubus phoenicacanthus","1","not in naturadb"
"Rubus phylloglotta","2","not in naturadb"
"Rubus pseudopsis","R","not in naturadb"
"Rubus sendtneri","3","not in naturadb"
"Rubus septifolius","2","not in naturadb"
"Rubus sprengeliusculus","1","not in naturadb"
"Rubus suecicus","R","not in naturadb"
"Rubus sylvulicola","G","not in naturadb"
"Rubus tiliaster","3","not in naturadb"
"Rubus adscitus","R","not in naturadb"
"Rubus agricastrorum","R","not in naturadb"
"Rubus ambrosius","R","not in naturadb"
"Rubus amphistrophos","G","not in naturadb"
"Rubus anisacanthos","G","not in naturadb"
"Rubus arrheniiformis","R","not in naturadb"
"Rubus axillaris","R","not in naturadb"
"Rubus barberi","0","not in naturadb"
"Rubus beijerinckii","R","not in naturadb"
"Rubus bovinus","R","not in naturadb"
"Rubus calothyrsus","R","not in naturadb"
"Rubus calyculatus","R","not in naturadb"
"Rubus canaliculatus","G","not in naturadb"
"Rubus canescens","V","not in naturadb"
"Rubus cardiophyllus","2","not in naturadb"
"Rubus christianseniorum","3","not in naturadb"
"Rubus circipanicus","3","not in naturadb"
"Rubus clusii","V","not in naturadb"
"Rubus confusidens","2","not in naturadb"
"Rubus constrictus","3","not in naturadb"
"Rubus correctispinosus","2","not in naturadb"
"Rubus costaefolius","R","not in naturadb"
"Rubus distractus","V","not in naturadb"
"Rubus dufftianus Jansen","R","not in naturadb"
"Rubus edeesii","R","not in naturadb"
"Rubus egregius","V","not in naturadb"
"Rubus eideranus","2","not in naturadb"
"Rubus elatior","G","not in naturadb"
"Rubus euryanthemus","G","not in naturadb"
"Rubus gelertii","V","not in naturadb"
"Rubus gremlii","R","not in naturadb"
"Rubus guestphalicoides","2","not in naturadb"
"Rubus guestphalicus","3","not in naturadb"
"Rubus henrici-egonis","R","not in naturadb"
"Rubus henrici-weberi","R","not in naturadb"
"Rubus imbricatus","R","not in naturadb"
"Rubus incarnatus","3","not in naturadb"
"Rubus latiarcuatus","V","not in naturadb"
"Rubus libertianus","1","not in naturadb"
"Rubus ligniciensis","0","not in naturadb"
"Rubus lindebergii","3","not in naturadb"
"Rubus lusaticus","2","not in naturadb"
"Rubus macranthelos","R","not in naturadb"
"Rubus marianus","2","not in naturadb"
"Rubus micans","3","not in naturadb"
"Rubus murrayi","R","not in naturadb"
"Rubus naumannii","R","not in naturadb"
"Rubus nuptialis","V","not in naturadb"
"Rubus palaefolius","G","not in naturadb"
"Rubus pallidifolius","3","not in naturadb"
"Rubus passaviensis","R","not in naturadb"
"Rubus perpedatus","R","not in naturadb"
"Rubus perrobustus","R","not in naturadb"
"Rubus phyllostachys","G","not in naturadb"
"Rubus phyllothyrsos","1","not in naturadb"
"Rubus platycephalus","1","not in naturadb"
"Rubus poliothyrsus","R","not in naturadb"
"Rubus polyanthemus","V","not in naturadb"
"Rubus praticolor","R","not in naturadb"
"Rubus pseudothyrsanthus","3","not in naturadb"
"Rubus rhamnifolius","2","not in naturadb"
"Rubus rhombifolius","2","not in naturadb"
"Rubus rufescens","1","not in naturadb"
"Rubus scaber","2","not in naturadb"
"Rubus schlechtendaliiformis","G","not in naturadb"
"Rubus siekensis","V","not in naturadb"
"Rubus silvae-norticae","R","not in naturadb"
"Rubus sorbicus","G","not in naturadb"
"Rubus spinulatus","R","not in naturadb"
"Rubus stormanicus","2","not in naturadb"
"Rubus tabanimontanus","0","not in naturadb"
"Rubus trichanthus","R","not in naturadb"
"Rumex aquaticus","V","naturadb"
"Rumex nivalis","R","not in naturadb"
"Rumex palustris","V","not in naturadb"
"Ruppia maritima","2","not in naturadb"
"Ruppia spiralis","3","not in naturadb"
"Ruta graveolens","3","naturadb"
"Sagina alexandrae","1","not in naturadb"
"Sagina apetala","3","not in naturadb"
"Sagina maritima","V","not in naturadb"
"Sagina nodosa","2","naturadb"
"Sagina normaniana","R","not in naturadb"
"Salix bicolor","0","naturadb"
"Salix caesia","R","naturadb"
"Salix daphnoides","2","naturadb"
"Salix eleagnos","V","naturadb"
"Salix hastata","R","naturadb"
"Salix myrsinifolia","V","not in naturadb"
"Salix alpina","1","naturadb"
"Salix breviserrata","1","not in naturadb"
"Salix myrtilloides","1","naturadb"
"Salix rosmarinifolia","3","naturadb"
"Salix starkeana","1","naturadb"
"Salvia pratensis","V","naturadb"
"Salvinia natans","2","not in naturadb"
"Samolus valerandi","2","not in naturadb"
"Sanguisorba officinalis","V","naturadb"
"Saponaria ocymoides","2","naturadb"
"Saussurea alpina","R","not in naturadb"
"Saussurea discolor","R","not in naturadb"
"Saussurea pygmaea","R","not in naturadb"
"Saxifraga bryoides","R","not in naturadb"
"Saxifraga burseriana","R","not in naturadb"
"Saxifraga granulata","V","naturadb"
"Saxifraga hirculus","0","not in naturadb"
"Saxifraga kochii","R","not in naturadb"
"Saxifraga mutata","2","not in naturadb"
"Saxifraga rosacea","3","not in naturadb"
"Scabiosa canescens","3","naturadb"
"Scabiosa ochroleuca","3","naturadb"
"Scandix pecten-veneris","2","naturadb"
"Scheuchzeria palustris","2","not in naturadb"
"Schlagintweitia intybacea","R","naturadb"
"Schoenoplectus carinatus","2","not in naturadb"
"Schoenoplectus mucronatus","1","not in naturadb"
"Schoenoplectus pungens","1","not in naturadb"
"Schoenoplectus supinus","2","not in naturadb"
"Schoenoplectus triqueter","2","not in naturadb"
"Schoenus ferrugineus","3","not in naturadb"
"Schoenus intermedius","3","not in naturadb"
"Schoenus nigricans","2","naturadb"
"Scilla amoena","R","not in naturadb"
"Scilla vindobonensis","2","not in naturadb"
"Scirpoides holoschoenus","2","not in naturadb"
"Scirpus radicans","2","not in naturadb"
"Scleranthus verticillatus","2","not in naturadb"
"Scleranthus perennis","V","naturadb"
"Sclerochloa dura","3","not in naturadb"
"Scolochloa festucacea","3","not in naturadb"
"Scolochloa marchica","2","not in naturadb"
"Scorzonera austriaca","1","naturadb"
"Scorzonera hispanica","3","naturadb"
"Scorzonera humilis","3","naturadb"
"Scorzonera laciniata","3","not in naturadb"
"Scorzonera parviflora","2","not in naturadb"
"Scorzonera purpurea","2","naturadb"
"Scutellaria hastifolia","2","not in naturadb"
"Scutellaria minor","2","naturadb"
"Sedum alpestre","R","not in naturadb"
"Sedum annuum","1","not in naturadb"
"Sedum dasyphyllum","3","naturadb"
"Sedum rubens","1","not in naturadb"
"Sedum forsterianum","3","not in naturadb"
"Sedum villosum","1","not in naturadb"
"Selaginella helvetica","V","not in naturadb"
"Selinum carvifolia","V","naturadb"
"Selinum dubium","2","naturadb"
"Sempervivum arachnoideum","R","naturadb"
"Sempervivum barbulatum","R","not in naturadb"
"Sempervivum funckii","R","not in naturadb"
"Sempervivum globiferum","3","naturadb"
"Sempervivum montanum","R","naturadb"
"Senecio aquaticus","V","naturadb"
"Senecio carniolicus","1","not in naturadb"
"Senecio paludosus","3","naturadb"
"Senecio sarracenicus","3","naturadb"
"Serratula tinctoria","3","naturadb"
"Seseli annuum","3","naturadb"
"Seseli hippomarathrum","2","naturadb"
"Seseli libanotis","3","naturadb"
"Seseli montanum","1","naturadb"
"Sesleria ovata","R","not in naturadb"
"Sherardia arvensis","V","naturadb"
"Silaum silaus","V","naturadb"
"Silene baccifera","3","naturadb"
"Silene chlorantha","2","not in naturadb"
"Silene conica","3","not in naturadb"
"Silene cretica","0","not in naturadb"
"Silene gallica","1","not in naturadb"
"Silene nemoralis","1","not in naturadb"
"Silene linicola","0","not in naturadb"
"Silene noctiflora","3","naturadb"
"Silene otites","3","naturadb"
"Silene tatarica","2","not in naturadb"
"Silene viscosa","1","not in naturadb"
"Sisymbrium austriacum","3","not in naturadb"
"Sisymbrium strictissimum","V","not in naturadb"
"Soldanella austriaca","R","not in naturadb"
"Soldanella minima","R","not in naturadb"
"Soldanella montana","3","naturadb"
"Sorbus danubialis","3","not in naturadb"
"Sorbus collina","3","not in naturadb"
"Sorbus pannonica","G","not in naturadb"
"Sorbus domestica","3","naturadb"
"Sorbus doerriana","R","not in naturadb"
"Sorbus gauckleri","2","not in naturadb"
"Sorbus harziana","R","not in naturadb"
"Sorbus hohenesteri","1","not in naturadb"
"Sorbus pulchra","2","not in naturadb"
"Sorbus schwarziana","1","not in naturadb"
"Sorbus intermedia","R","naturadb"
"Sorbus adeana","R","not in naturadb"
"Sorbus badensis","3","not in naturadb"
"Sorbus cordigastensis","R","not in naturadb"
"Sorbus decipiens","R","not in naturadb"
"Sorbus eystettensis","2","not in naturadb"
"Sorbus fischeri","R","not in naturadb"
"Sorbus franconica","R","not in naturadb"
"Sorbus haesitans","2","not in naturadb"
"Sorbus herbipolitana","2","not in naturadb"
"Sorbus hoppeana","2","not in naturadb"
"Sorbus lonetalensis","R","not in naturadb"
"Sorbus meierottii","2","not in naturadb"
"Sorbus mergenthaleriana","1","not in naturadb"
"Sorbus meyeri","R","not in naturadb"
"Sorbus perlonga","R","not in naturadb"
"Sorbus puellarum","2","not in naturadb"
"Sorbus ratisbonensis","R","not in naturadb"
"Sorbus schnizleiniana","2","not in naturadb"
"Sorbus schuwerkiorum","2","not in naturadb"
"Sorbus seyboldiana","R","not in naturadb"
"Sorbus austriaca","R","naturadb"
"Sorbus mougeotii","R","not in naturadb"
"Sorbus pseudothuringiaca","3","not in naturadb"
"Sorbus algoviensis","1","not in naturadb"
"Sparganium angustifolium","2","not in naturadb"
"Sparganium natans","2","not in naturadb"
"Spergula morisonii","V","not in naturadb"
"Spergula pentandra","2","not in naturadb"
"Spergularia segetalis","0","not in naturadb"
"Spiranthes aestivalis","2","not in naturadb"
"Spiranthes spiralis","2","not in naturadb"
"Spirobassia hirsuta","2","not in naturadb"
"Stachys annua","2","not in naturadb"
"Stachys arvensis","3","not in naturadb"
"Stachys germanica","3","naturadb"
"Stachys recta","V","naturadb"
"Staphylea pinnata","3","naturadb"
"Stellaria crassifolia","0","not in naturadb"
"Stellaria longifolia","3","not in naturadb"
"Stellaria palustris","3","not in naturadb"
"Stipa capillata","3","naturadb"
"Stipa borysthenica","2","not in naturadb"
"Stipa dasyphylla","1","not in naturadb"
"Stipa eriocaulis","2","not in naturadb"
"Stipa pennata","3","naturadb"
"Stipa pulcherrima","2","naturadb"
"Stipa tirsa","2","not in naturadb"
"Stratiotes aloides","3","naturadb"
"Subularia aquatica","0","not in naturadb"
"Succisa pratensis","V","naturadb"
"Succisella inflexa","1","not in naturadb"
"Swertia perennis","2","not in naturadb"
"Tanacetum corymbosum","V","naturadb"
"Taraxacum adamii","3","not in naturadb"
"Taraxacum duplidentifrons","3","not in naturadb"
"Taraxacum gelertii","3","not in naturadb"
"Taraxacum albulense","R","not in naturadb"
"Taraxacum congestolobum","R","not in naturadb"
"Taraxacum cordatifolium","R","not in naturadb"
"Taraxacum grandiflorum","R","not in naturadb"
"Taraxacum krameriense","R","not in naturadb"
"Taraxacum ooststroomii","R","not in naturadb"
"Taraxacum podlechianum","R","not in naturadb"
"Taraxacum polycercum","R","not in naturadb"
"Taraxacum petiolulatum","R","not in naturadb"
"Taraxacum schmidianum","R","not in naturadb"
"Taraxacum vernelense","R","not in naturadb"
"Taraxacum","V","not in naturadb"
"Taraxacum bracteatum","3","not in naturadb"
"Taraxacum hygrophilum","2","not in naturadb"
"Taraxacum nordstedtii","3","not in naturadb"
"Taraxacum prionum","3","not in naturadb"
"Taraxacum reichlingii","2","not in naturadb"
"Taraxacum","R","not in naturadb"
"Taraxacum cucullatum","R","not in naturadb"
"Taraxacum tiroliense","R","not in naturadb"
"Taraxacum danubium","R","not in naturadb"
"Taraxacum discretum","R","not in naturadb"
"Taraxacum divulsum","R","not in naturadb"
"Taraxacum fulvum","R","not in naturadb"
"Taraxacum laetum","1","not in naturadb"
"Taraxacum limbatum","R","not in naturadb"
"Taraxacum magnolevigatum","R","not in naturadb"
"Taraxacum maricum","R","not in naturadb"
"Taraxacum multiglossum","R","not in naturadb"
"Taraxacum parvilobum","R","not in naturadb"
"Taraxacum penelobum","R","not in naturadb"
"Taraxacum rubicundum","V","not in naturadb"
"Taraxacum taeniatum","R","not in naturadb"
"Taraxacum tortilobum","V","not in naturadb"
"Taraxacum absurdum","R","not in naturadb"
"Taraxacum aurantellum","R","not in naturadb"
"Taraxacum fontanicola","R","not in naturadb"
"Taraxacum pohlii","R","not in naturadb"
"Taraxacum brabanticum","R","not in naturadb"
"Taraxacum ericinoides","R","not in naturadb"
"Taraxacum hamiferum","R","not in naturadb"
"Taraxacum kernianum","R","not in naturadb"
"Taraxacum lancidens","R","not in naturadb"
"Taraxacum marklundii","R","not in naturadb"
"Taraxacum polyhamatum","R","not in naturadb"
"Taraxacum pruinatum","R","not in naturadb"
"Taraxacum spiculatum","R","not in naturadb"
"Taraxacum subditivum","R","not in naturadb"
"Taraxacum litorale-Gruppe","2","not in naturadb"
"Taraxacum litorale","2","not in naturadb"
"Taraxacum","1","not in naturadb"
"Taraxacum euryphyllum","1","not in naturadb"
"Taraxacum lentiginosum","R","not in naturadb"
"Taraxacum maculigerum","1","not in naturadb"
"Taraxacum","3","not in naturadb"
"Taraxacum obliquum","1","not in naturadb"
"Taraxacum platyglossum","3","not in naturadb"
"Taraxacum ancoriferum","2","not in naturadb"
"Taraxacum austrinum","3","not in naturadb"
"Taraxacum balticiforme","1","not in naturadb"
"Taraxacum balticum","2","not in naturadb"
"Taraxacum bavaricum","2","not in naturadb"
"Taraxacum brandenburgicum","1","not in naturadb"
"Taraxacum delanghei","1","not in naturadb"
"Taraxacum dentatum","1","not in naturadb"
"Taraxacum frisicum","2","not in naturadb"
"Taraxacum gelricum","0","not in naturadb"
"Taraxacum geminidentatum","1","not in naturadb"
"Taraxacum germanicum","2","not in naturadb"
"Taraxacum heleocharis","2","not in naturadb"
"Taraxacum hollandicum","3","not in naturadb"
"Taraxacum irrigatum","1","not in naturadb"
"Taraxacum madidum","3","not in naturadb"
"Taraxacum memorabile","2","not in naturadb"
"Taraxacum multilepis","1","not in naturadb"
"Taraxacum neoaellenii","1","not in naturadb"
"Taraxacum palustre","2","not in naturadb"
"Taraxacum paucilobum","2","not in naturadb"
"Taraxacum pauckertianum","3","not in naturadb"
"Taraxacum pollichii","2","not in naturadb"
"Taraxacum spurium","1","not in naturadb"
"Taraxacum trilobifolium","2","not in naturadb"
"Taraxacum turfosum","2","not in naturadb"
"Taraxacum udum","2","not in naturadb"
"Taraxacum vindobonense","1","not in naturadb"
"Taraxacum schroeterianum","R","not in naturadb"
"Taraxacum rubrisquameum","R","not in naturadb"
"Taraxacum rutilum","3","not in naturadb"
"Taraxacum violaceifrons","R","not in naturadb"
"Taraxacum subalpinum","V","not in naturadb"
"Taxus baccata","V","naturadb"
"Tephroseris crispa","3","not in naturadb"
"Tephroseris helenitis","2","naturadb"
"Tephroseris integrifolia","2","not in naturadb"
"Tephroseris palustris","V","not in naturadb"
"Tephroseris tenuifolia","R","not in naturadb"
"Teucrium botrys","V","naturadb"
"Teucrium montanum","V","naturadb"
"Teucrium scordium","2","naturadb"
"Thalictrum flavum","V","naturadb"
"Thalictrum lucidum","3","naturadb"
"Thalictrum minus","V","naturadb"
"Thalictrum simplex","2","not in naturadb"
"Thelypteris palustris","V","naturadb"
"Thesium alpinum","3","not in naturadb"
"Thesium bavarum","3","naturadb"
"Thesium ebracteatum","1","not in naturadb"
"Thesium linophyllon","3","not in naturadb"
"Thesium pyrenaicum","3","not in naturadb"
"Thesium rostratum","3","not in naturadb"
"Thlaspi alliaceum","3","not in naturadb"
"Thymelaea passerina","2","not in naturadb"
"Thymus alpestris","R","not in naturadb"
"Thymus serpyllum","V","naturadb"
"Tofieldia calyculata","3","not in naturadb"
"Tofieldia pusilla","R","not in naturadb"
"Tordylium maximum","1","not in naturadb"
"Tragopogon orientalis","V","not in naturadb"
"Trapa natans","2","naturadb"
"Traunsteinera globosa","3","not in naturadb"
"Trichophorum alpinum","3","not in naturadb"
"Trichophorum cespitosum","V","naturadb"
"Trichophorum germanicum","2","not in naturadb"
"Trifolium alpestre","V","naturadb"
"Trifolium aureum","V","not in naturadb"
"Trifolium micranthum","R","not in naturadb"
"Trifolium fragiferum","V","not in naturadb"
"Trifolium montanum","V","naturadb"
"Trifolium ochroleucon","2","not in naturadb"
"Trifolium ornithopodioides","1","not in naturadb"
"Trifolium retusum","1","not in naturadb"
"Trifolium rubens","3","naturadb"
"Trifolium scabrum","1","not in naturadb"
"Trifolium spadiceum","2","not in naturadb"
"Trifolium striatum","3","not in naturadb"
"Triglochin maritima","V","not in naturadb"
"Triglochin palustris","3","not in naturadb"
"Trinia glauca","2","naturadb"
"Trisetum spicatum","R","not in naturadb"
"Trollius europaeus","3","naturadb"
"Tuberaria guttata","1","not in naturadb"
"Tulipa sylvestris","3","naturadb"
"Turgenia latifolia","1","not in naturadb"
"Typha minima","0","naturadb"
"Typha shuttleworthii","2","naturadb"
"Ulmus laevis","V","naturadb"
"Utricularia intermedia","2","not in naturadb"
"Utricularia ochroleuca","1","not in naturadb"
"Utricularia stygia","2","not in naturadb"
"Utricularia bremii","2","not in naturadb"
"Utricularia minor","3","not in naturadb"
"Utricularia australis","V","not in naturadb"
"Utricularia vulgaris","3","naturadb"
"Vaccaria hispanica","1","not in naturadb"
"Vaccinium oxycoccos","3","naturadb"
"Vaccinium uliginosum","V","naturadb"
"Valerianella dentata","V","not in naturadb"
"Valerianella rimosa","3","not in naturadb"
"Ventenata dubia","2","not in naturadb"
"Verbascum blattaria","3","naturadb"
"Verbascum phoeniceum","2","naturadb"
"Verbascum pulverulentum","3","naturadb"
"Veronica acinifolia","1","not in naturadb"
"Veronica austriaca","2","naturadb"
"Veronica jacquinii","1","not in naturadb"
"Veronica orsiniana","2","not in naturadb"
"Veronica prostrata","3","naturadb"
"Veronica satureiifolia","2","not in naturadb"
"Veronica teucrium","V","naturadb"
"Veronica bellidioides","R","not in naturadb"
"Veronica micans","R","not in naturadb"
"Veronica fruticulosa","R","naturadb"
"Veronica triloba","V","not in naturadb"
"Veronica maritima","V","not in naturadb"
"Veronica opaca","3","not in naturadb"
"Veronica praecox","V","not in naturadb"
"Veronica spicata","3","naturadb"
"Veronica spuria","0","naturadb"
"Veronica triphyllos","V","not in naturadb"
"Veronica dillenii","3","not in naturadb"
"Veronica verna","V","not in naturadb"
"Vicia cassubica","V","naturadb"
"Vicia dumetorum","V","naturadb"
"Vicia ervilia","0","not in naturadb"
"Vicia lathyroides","V","not in naturadb"
"Vicia oroboides","R","not in naturadb"
"Vicia orobus","2","not in naturadb"
"Vicia pisiformis","3","naturadb"
"Viola alba","3","not in naturadb"
"Viola calcarata","R","naturadb"
"Viola canina","V","naturadb"
"Viola montana","3","not in naturadb"
"Viola schultzii","0","not in naturadb"
"Viola collina","2","not in naturadb"
"Viola elatior","2","naturadb"
"Viola epipsila","1","not in naturadb"
"Viola mirabilis","V","not in naturadb"
"Viola pumila","2","not in naturadb"
"Viola pyrenaica","R","not in naturadb"
"Viola rupestris","2","naturadb"
"Viola stagnina","2","not in naturadb"
"Viola calaminaria","2","naturadb"
"Viola guestphalica","R","not in naturadb"
"Viola kitaibeliana","R","not in naturadb"
"Viola uliginosa","1","not in naturadb"
"Viscaria vulgaris","V","naturadb"
"Vitis gmelinii","2","not in naturadb"
"Vulpia bromoides","V","not in naturadb"
"Wahlenbergia hederacea","2","not in naturadb"
"Willemetia stipitata","V","not in naturadb"
"Wolffia arrhiza","3","not in naturadb"
"Woodsia alpina","R","not in naturadb"
"Woodsia ilvensis","2","naturadb"
"Woodsia pulchella","1","not in naturadb"
"Xanthium strumarium","2","not in naturadb"
"Zostera marina","3","not in naturadb"
"Zostera noltei","3","not in naturadb"
